Rank,x_push_mm,w1_stiff_mm,w1_mass_mm,L_mm,A_z_mm,z_eq_mm,f_res_Hz,Az_zeq_ratio
1,0.4326,0.1000,100.0000,21.0000,2.4611,1.7598,30.00,1.3985
2,0.4326,0.1000,80.0000,25.0000,2.3886,1.7598,28.00,1.3573
3,0.3811,0.1000,100.0000,25.0000,2.3873,1.6516,25.00,1.4455
4,0.3811,0.5000,100.0000,25.0000,2.3587,1.6516,26.00,1.4282
5,0.2263,0.1000,100.0000,25.0000,2.3581,1.2728,19.00,1.8527
6,0.1232,0.1000,100.0000,25.0000,2.3554,0.9389,22.00,2.5086
7,0.3811,2.0000,100.0000,25.0000,2.3461,1.6516,26.00,1.4205
8,0.3811,1.0000,100.0000,25.0000,2.3334,1.6516,27.00,1.4129
9,0.3811,0.1000,80.0000,25.0000,2.3329,1.6516,28.00,1.4125
10,0.1747,0.1000,100.0000,21.0000,2.3257,1.1184,22.00,2.0795
11,0.2263,0.5000,100.0000,25.0000,2.3222,1.2728,20.00,1.8245
12,0.3811,0.1000,100.0000,21.0000,2.2873,1.6516,29.00,1.3849
13,0.3295,0.1000,100.0000,25.0000,2.2524,1.5357,24.00,1.4667
14,0.1747,0.5000,100.0000,25.0000,2.2217,1.1184,21.00,1.9865
15,0.1747,1.0000,100.0000,25.0000,2.2193,1.1184,21.00,1.9844
16,0.2779,0.1000,100.0000,25.0000,2.2189,1.4104,21.00,1.5733
17,0.3295,0.5000,100.0000,25.0000,2.2172,1.5357,25.00,1.4438
18,0.3295,1.0000,100.0000,25.0000,2.2158,1.5357,25.00,1.4429
19,0.3295,2.0000,100.0000,25.0000,2.2130,1.5357,25.00,1.4410
20,0.1747,0.1000,80.0000,25.0000,2.2082,1.1184,20.00,1.9744
